Year,Serie,Región,Value
2011,Proporción de energías renovables en la producción de energía eléctrica,España,31.02
2012,Proporción de energías renovables en la producción de energía eléctrica,España,30.14
2013,Proporción de energías renovables en la producción de energía eléctrica,España,40.16
2014,Proporción de energías renovables en la producción de energía eléctrica,España,40.48
2015,Proporción de energías renovables en la producción de energía eléctrica,España,35.18
2016,Proporción de energías renovables en la producción de energía eléctrica,España,38.61
2017,Proporción de energías renovables en la producción de energía eléctrica,España,32.26
2018,Proporción de energías renovables en la producción de energía eléctrica,España,38.45
2019,Proporción de energías renovables en la producción de energía eléctrica,España,37.54
2020,Proporción de energías renovables en la producción de energía eléctrica,España,44.0
2021,Proporción de energías renovables en la producción de energía eléctrica,España,46.71
2022,Proporción de energías renovables en la producción de energía eléctrica,España,42.22
2023,Proporción de energías renovables en la producción de energía eléctrica,España,50.4
