Year,Serie,RefArea,Value
2011,Consumo de energía eléctrica por unidad de PIB,España,21.7
2012,Consumo de energía eléctrica por unidad de PIB,España,22.1
2013,Consumo de energía eléctrica por unidad de PIB,España,21.89
2014,Consumo de energía eléctrica por unidad de PIB,España,21.35
2015,Consumo de energía eléctrica por unidad de PIB,España,20.96
2016,Consumo de energía eléctrica por unidad de PIB,España,20.49
2017,Consumo de energía eléctrica por unidad de PIB,España,20.14
2018,Consumo de energía eléctrica por unidad de PIB,España,19.76
2019,Consumo de energía eléctrica por unidad de PIB,España,19.07
2020,Consumo de energía eléctrica por unidad de PIB,España,20.29
2021,Consumo de energía eléctrica por unidad de PIB,España,19.56
2022,Consumo de energía eléctrica por unidad de PIB,España,18.06
2023,Consumo de energía eléctrica por unidad de PIB,España,17.23
