Year,Serie,Región,Value
2010,Superficie forestal con instrumentos de gestión sostenible vigentes,España,
2011,Superficie forestal con instrumentos de gestión sostenible vigentes,España,
2012,Superficie forestal con instrumentos de gestión sostenible vigentes,España,
2013,Superficie forestal con instrumentos de gestión sostenible vigentes,España,
2014,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4400309.38
2015,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4611684.49
2016,Superficie forestal con instrumentos de gestión sostenible vigentes,España,4804161.96
2017,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5124970.35
2018,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5167697.4
2019,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5527015.72
2020,Superficie forestal con instrumentos de gestión sostenible vigentes,España,5713414.12
2021,Superficie forestal con instrumentos de gestión sostenible vigentes,España,6108383.93
2022,Superficie forestal con instrumentos de gestión sostenible vigentes,España,6701415.0
2010,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,
2011,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,
2012,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,
2013,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,
2014,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,15.86
2015,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,16.58
2016,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,17.28
2017,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,18.33
2018,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,18.48
2019,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,19.76
2020,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,20.34
2021,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,21.52
2022,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,España,23.6
